id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
180436360,"",5,677,VISC,Visceral area,378-1827,1.1352898592,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>111, ""abbreviation""=>""AIp"", ""name""=>""Agranular insular area, posterior part"", ""color""=>""219866""}, {""id""=>345, ""abbreviation""=>""SSp-m"", ""name""=>""Primary somatosensory area, mouth"", ""color""=>""188064""}, {""id""=>353, ""abbreviation""=>""SSp-n"", ""name""=>""Primary somatosensory area, nose"", ""color""=>""188064""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>583, ""abbreviation""=>""CLA"", ""name""=>""Claustrum"", ""color""=>""8ADA87""}, {""id""=>677, ""abbreviation""=>""VISC"", ""name""=>""Visceral area"", ""color""=>""11AD83""}, {""id""=>1057, ""abbreviation""=>""GU"", ""name""=>""Gustatory areas"", ""color""=>""009C75""}]",M,C57BL/6J,35.602852768000005,11ad83,,"[5520, 4470, 10080]",false,http://connectivity.brain-map.org/projection/experiment/180436360
180435652,"",5,895,ECT,Ectorhinal area,378-1825,1.075152512,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>895, ""abbreviation""=>""ECT"", ""name""=>""Ectorhinal area"", ""color""=>""0D9F91""}, {""id""=>922, ""abbreviation""=>""PERI"", ""name""=>""Perirhinal area"", ""color""=>""0E9684""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",M,C57BL/6J,32.9031704064,0d9f91,,"[7860, 3740, 10390]",false,http://connectivity.brain-map.org/projection/experiment/180435652
180719293,"",5,993,MOs,Secondary motor area,378-1822,1.0470485424,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,29.847877248000003,1f9d5a,,"[2460, 2960, 8170]",false,http://connectivity.brain-map.org/projection/experiment/180719293
167902586,Rbp4-Cre_KL100,5,746,ORBvl,"Orbital area, ventrolateral part",Rbp4-Cre-129,0.5264251496,"[{""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",F,"",27.922281676799997,248a5e,,"[2710, 3990, 6400]",false,http://connectivity.brain-map.org/projection/experiment/167902586
180709942,"",5,993,MOs,Secondary motor area,378-1812,0.8089883536,"[{""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,27.776881664,1f9d5a,,"[2670, 2800, 8010]",false,http://connectivity.brain-map.org/projection/experiment/180709942
166055636,Rbp4-Cre_KL100,5,993,MOs,Secondary motor area,Rbp4-Cre-91,0.48321424479999997,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,"",27.7738604416,1f9d5a,,"[3380, 2230, 6410]",false,http://connectivity.brain-map.org/projection/experiment/166055636
180917660,"",5,677,VISC,Visceral area,378-1826,1.2988013696,"[{""id""=>111, ""abbreviation""=>""AIp"", ""name""=>""Agranular insular area, posterior part"", ""color""=>""219866""}, {""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>677, ""abbreviation""=>""VISC"", ""name""=>""Visceral area"", ""color""=>""11AD83""}, {""id""=>1057, ""abbreviation""=>""GU"", ""name""=>""Gustatory areas"", ""color""=>""009C75""}]",M,C57BL/6J,26.766660031999997,11ad83,,"[6370, 4320, 10280]",false,http://connectivity.brain-map.org/projection/experiment/180917660
180916954,"",5,993,MOs,Secondary motor area,378-1824,0.5682902792,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,23.5470241664,1f9d5a,,"[5070, 2170, 6610]",false,http://connectivity.brain-map.org/projection/experiment/180916954
158257355,"",5,596,NDB,Diagonal band nucleus,378-1626,1.4149421104,"[{""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>56, ""abbreviation""=>""ACB"", ""name""=>""Nucleus accumbens"", ""color""=>""80CDF8""}, {""id""=>72, ""abbreviation""=>""ADP"", ""name""=>""Anterodorsal preoptic nucleus"", ""color""=>""FF5547""}, {""id""=>226, ""abbreviation""=>""LPO"", ""name""=>""Lateral preoptic area"", ""color""=>""F2483B""}, {""id""=>258, ""abbreviation""=>""LSr"", ""name""=>""Lateral septal nucleus, rostral (rostroventral) part"", ""color""=>""90CBED""}, {""id""=>263, ""abbreviation""=>""AVP"", ""name""=>""Anteroventral preoptic nucleus"", ""color""=>""FF5547""}, {""id""=>266, ""abbreviation""=>""LSv"", ""name""=>""Lateral septal nucleus, ventral part"", ""color""=>""90CBED""}, {""id""=>272, ""abbreviation""=>""AVPV"", ""name""=>""Anteroventral periventricular nucleus"", ""color""=>""FF5547""}, {""id""=>342, ""abbreviation""=>""SI"", ""name""=>""Substantia innominata"", ""color""=>""A2B1D8""}, {""id""=>351, ""abbreviation""=>""BST"", ""name""=>""Bed nuclei of the stria terminalis"", ""color""=>""B3C0DF""}, {""id""=>523, ""abbreviation""=>""MPO"", ""name""=>""Medial preoptic area"", ""color""=>""FF5547""}, {""id""=>564, ""abbreviation""=>""MS"", ""name""=>""Medial septal nucleus"", ""color""=>""96A7D3""}, {""id""=>596, ""abbreviation""=>""NDB"", ""name""=>""Diagonal band nucleus"", ""color""=>""96A7D3""}, {""id""=>1109, ""abbreviation""=>""PS"", ""name""=>""Parastrial nucleus"", ""color""=>""FF5547""}]",M,C57BL/6J,22.8952316544,96a7d3,,"[4620, 6410, 5620]",false,http://connectivity.brain-map.org/projection/experiment/158257355
174957972,"",5,181,RE,Nucleus of reuniens,378-1773,1.4578457263999998,"[{""id""=>15, ""abbreviation""=>""PT"", ""name""=>""Parataenial nucleus"", ""color""=>""FF909F""}, {""id""=>38, ""abbreviation""=>""PVH"", ""name""=>""Paraventricular hypothalamic nucleus"", ""color""=>""FF5D50""}, {""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>149, ""abbreviation""=>""PVT"", ""name""=>""Paraventricular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>181, ""abbreviation""=>""RE"", ""name""=>""Nucleus of reuniens"", ""color""=>""FF909F""}, {""id""=>189, ""abbreviation""=>""RH"", ""name""=>""Rhomboid nucleus"", ""color""=>""FF909F""}, {""id""=>262, ""abbreviation""=>""RT"", ""name""=>""Reticular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>366, ""abbreviation""=>""SMT"", ""name""=>""Submedial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>599, ""abbreviation""=>""CM"", ""name""=>""Central medial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>797, ""abbreviation""=>""ZI"", ""name""=>""Zona incerta"", ""color""=>""F2483B""}, {""id""=>1077, ""abbreviation""=>""PR"", ""name""=>""Perireunensis nucleus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>1120, ""abbreviation""=>""IAM"", ""name""=>""Interanteromedial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>560581559, ""abbreviation""=>""Xi"", ""name""=>""Xiphoid thalamic nucleus"", ""color""=>""FF909F""}]",M,C57BL/6J,22.8554715648,ff909f,,"[6010, 4350, 5520]",false,http://connectivity.brain-map.org/projection/experiment/174957972
